컬럼

| table_name               | pos | column_name             | data_type                | udt_name    | is_nullable | column_default                                  | char_len | num_prec | num_scale |
| diary_stickers           | 2   | entry_id                | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| diary_stickers           | 3   | profile_id              | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| diary_stickers           | 4   | sticker_type            | text                     | text        | NO          | null                                            | null     | null     | null      |
| diary_stickers           | 5   | sticker_ref             | text                     | text        | NO          | null                                            | null     | null     | null      |
| diary_stickers           | 6   | pos_x                   | numeric                  | numeric     | NO          | null                                            | null     | null     | null      |
| diary_stickers           | 7   | pos_y                   | numeric                  | numeric     | NO          | null                                            | null     | null     | null      |
| diary_stickers           | 8   | scale                   | numeric                  | numeric     | NO          | 1                                               | null     | null     | null      |
| diary_stickers           | 9   | rotation                | numeric                  | numeric     | NO          | 0                                               | null     | null     | null      |
| diary_stickers           | 10  | z_index                 | integer                  | int4        | NO          | 0                                               | null     | 32       | 0         |
| diary_stickers           | 11  | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| diary_strokes            | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| diary_strokes            | 2   | entry_id                | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| diary_strokes            | 3   | profile_id              | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
| diary_strokes            | 4   | tool_type               | text                     | text        | NO          | null                                            | null     | null     | null      |
| diary_strokes            | 5   | color                   | text                     | text        | NO          | null                                            | null     | null     | null      |
| diary_strokes            | 6   | thickness               | numeric                  | numeric     | NO          | null                                            | null     | null     | null      |
| diary_strokes            | 7   | points                  | jsonb                    | jsonb       | NO          | null                                            | null     | null     | null      |
| diary_strokes            | 8   | z_index                 | integer                  | int4        | NO          | 0                                               | null     | 32       | 0         |
| diary_strokes            | 9   | created_at              | timestamp with time zone | timestamptz | NO          | now()                                           | null     | null     | null      |
| diary_texts              | 1   | id                      | uuid                     | uuid        | NO          | gen_random_uuid()                               | null     | null     | null      |
| diary_texts              | 2   | entry_id                | uuid                     | uuid        | NO          | null                                            | null     | null     | null      |
| diary_texts              | 3   | profile_id              | uuid                     | uuid        | YES         | null                                            | null     | null     | null      |
